itemid,serialnumber,itemname,macaddress,modelid,modelname,hasbatteries,subjectspecific,vendorid,vendorname,typeid,typename,subtypeid,subtypename,batterymonths,lastbatterychange,active,activename,homeid,subjectid,start,automatic_token,automatic_refresh,automatic_username,automatic_password,projectid,projectname,ownershiptypeid,ownershiptypename,statusid,statusname
"11131","ZBW1407","nyce-w-1407","000D6F000A8D74E7","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
"11132","ZBW1408","nyce-w-1408","000D6F000A8D74E8","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
"11138","ZBW1414","nyce-w-1414","000D6F000A8D7886","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11139","ZBW1415","nyce-w-1415","000D6F000A8D7887","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11186","ZBW1459","nyce-w-1459","000D6F0004D38D8D","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11190","ZBW1463","nyce-w-1463","000D6F0004D38ED6","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11193","ZBW1466","nyce-w-1466","000D6F0004D38DCB","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11199","ZBW1472","nyce-w-1472","000D6F0004D3816C","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11200","ZBW1473","nyce-w-1473","000D6F0004D38DCD","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11201","ZBW1474","nyce-w-1474","000D6F0004D38B6A","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11202","ZBW1475","nyce-w-1475","000D6F0004D38B3A","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11222","ZBW1495","nyce-w-1495","000D6F0004D37A7B","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11234","ZBW1507","nyce-w-1507","000D6F0004D399BA","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","1482","","2018-05-24 09:03:29","","","","","","","","","",""
"11235","ZBW1508","nyce-w-1508","000D6F0004D39526","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11236","ZBW1509","nyce-w-1509","000D6F0004D3923E","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11237","ZBW1510","nyce-w-1510","000D6F0004D394B6","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11238","ZBW1511","nyce-w-1511","000D6F0004D39516","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11239","ZBW1512","nyce-w-1512","000D6F0004D39351","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11240","ZBW1513","nyce-w-1513","000D6F0004D395E8","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11244","ZBW1517","nyce-w-1517","000D6F0004D39348","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11245","ZBW1518","nyce-w-1518","000D6F0004D3914A","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11246","ZBW1519","nyce-w-1519","000D6F0004D397E4","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11248","ZBW1521","nyce-w-1521","000D6F0004D39AAC","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11254","ZBW1527","nyce-w-1527","000D6F0004D392F3","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11255","ZBW1528","nyce-w-1528","000D6F0004D391E0","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11256","ZBW1529","nyce-w-1529","000D6F0004D3948B","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11257","ZBW1530","nyce-w-1530","000D6F0004B72BE3","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11258","ZBW1531","nyce-w-1531","000D6F0004B723B6","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11259","ZBW1532","nyce-w-1532","000D6F0004B72E69","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11260","ZBW1533","nyce-w-1533","000D6F0004B72D1A","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11273","ZBW1542","nyce-w-1542","000D6F0004D37A91","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
"11275","ZBW1544","nyce-w-1544","000D6F0004D37AC8","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11276","ZBW1545","nyce-w-1545","000D6F0004D37BF1","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11277","ZBW1546","nyce-w-1546","000D6F0004D37B4A","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11281","ZBW1550","nyce-w-1550","000D6F0004D37ECB","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
"11282","ZBW1551","nyce-w-1551","000D6F0004D37E29","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11283","ZBW1552","nyce-w-1552","000D6F0004D37F6F","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
"11284","ZBW1553","nyce-w-1553","000D6F0004D38131","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
"11285","ZBW1554","nyce-w-1554","000D6F0004D38322","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11286","ZBW1555","nyce-w-1555","000D6F0004D38329","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11287","ZBW1556","nyce-w-1556","000D6F0004D38366","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11288","ZBW1557","nyce-w-1557","000D6F0004D38388","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11294","ZBW1563","nyce-w-1563","000D6F0004D38A78","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11295","ZBW1564","nyce-w-1564","000D6F0004D38A7F","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11296","ZBW1565","nyce-w-1565","000D6F0004D38AD5","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11297","ZBW1566","nyce-w-1566","000D6F0004D38B2B","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11298","ZBW1567","nyce-w-1567","000D6F0004D38B30","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11300","ZBW1569","nyce-w-1569","000D6F0004D38B3E","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11302","ZBW1571","nyce-w-1571","000D6F0004D38B86","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11308","ZBW1577","nyce-w-1577","000D6F0004D38C4C","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11309","ZBW1578","nyce-w-1578","000D6F0004D38C59","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11310","ZBW1579","nyce-w-1579","000D6F0004D38C99","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11311","ZBW1580","nyce-w-1580","000D6F0004D38C9C","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11312","ZBW1581","nyce-w-1581","000D6F0004D38CB7","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11313","ZBW1582","nyce-w-1582","000D6F0004D38D8C","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11314","ZBW1583","nyce-w-1583","000D6F0004D38D8F","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11316","ZBW1585","nyce-w-1585","000D6F0004D38DD0","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11318","ZBW1587","nyce-w-1587","000D6F0004D38E05","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11319","ZBW1588","nyce-w-1588","000D6F0004D38E0D","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11323","ZBW1592","nyce-w-1592","000D6F0004D38EA1","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11324","ZBW1593","nyce-w-1593","000D6F0004D38F67","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11326","ZBW1595","nyce-w-1595","000D6F0004D38FE2","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11327","ZBW1596","nyce-w-1596","000D6F0004D389F5","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11328","ZBW1597","nyce-w-1597","000D6F0004D39042","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11329","ZBW1598","nyce-w-1598","000D6F0004D390D5","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11331","ZBW1600","nyce-w-1600","000D6F0004D39162","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11332","ZBW1601","nyce-w-1601","000D6F0004D39183","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11333","ZBW1602","nyce-w-1602","000D6F0004D391C9","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11337","ZBW1606","nyce-w-1606","000D6F0004D394CE","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11338","ZBW1607","nyce-w-1607","000D6F0004D394EE","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11339","ZBW1608","nyce-w-1608","000D6F0004D39718","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11340","ZBW1609","nyce-w-1609","000D6F0004D3971C","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11345","ZBW1614","nyce-w-1614","000D6F0004D39AD1","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11347","ZBW1616","nyce-w-1616","000D6F0004D39C15","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11414","ZBL0659","nyce-sl-0659","000D6F0004B72520","131","NCZ-3045","1","0","52","NYCE Controls","10","Activity Sensors","45","Zigbee / Sensor Line","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11421","ZBL0666","nyce-sl-0666","000D6F0004B71396","131","NCZ-3045","1","0","52","NYCE Controls","10","Activity Sensors","45","Zigbee / Sensor Line","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11453","ZBSL0695","nyce-sl-0695","000D6F0004D286B8","131","NCZ-3045","1","0","52","NYCE Controls","10","Activity Sensors","45","Zigbee / Sensor Line","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11547","ZBSL0790","nyce-sl-0790","000D6F0004B72AC5","131","NCZ-3045","1","0","52","NYCE Controls","10","Activity Sensors","45","Zigbee / Sensor Line","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11570","ZBW1624","nyce-w-1624","000D6F0004D38F98","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11594","ZBW1653","nyce-w-1653","000D6F0004D38D41","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11612","ZBW1701","nyce-w-1701","000D6F0004D38C60","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11614","ZBW1703","nyce-w-1703","000D6F0004D39204","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"12880","00:24:E4:4C:93:16","WS149","00:24:E4:4C:93:16","168","Cardio","0","0","51","Withings","40","Scale","58","Cardio","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13009","00:24:E4:49:E0:A3","activite-096","00:24:E4:49:E0:A3","169","Activite","1","1","51","Withings","42","Watch","41","Activity","12","","1","Active","","1694","","","","","","22","Rush","1","Received","2","Assigned"
"13022","ZBC1035","nyce-1035","000D6F000D6A61C7","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13029","ZBC1042","nyce-1042","000D6F000D6A25E6","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13033","ZBC1046","nyce-1046","000D6F000D6A2FBE","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13034","ZBC1047","nyce-1047","000D6F000D6A1771","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13042","ZBC1055","nyce-c-1055","000D6F000D6970C9","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13050","ZBC1063","nyce-c-1063","000D6F000D6A6197","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13067","ZBC1080","nyce-c-1080","000D6F000D6A11AB","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13068","ZBC1081","nyce-c-1081","000D6F000D6A28D3","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13069","ZBC1082","nyce-c-1082","000D6F000D6A1670","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13070","ZBC1083","nyce-c-1083","000D6F000D6A2564","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13071","ZBC1084","nyce-c-1084","000D6F000D6A1516","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","1426","","2018-06-07 07:13:11","","","","","22","Rush","1","Received","2","Assigned"
"13073","ZBC1086","nyce-c-1086","000D6F000D696E03","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13074","ZBC1087","nyce-c-1087","000D6F000D6A1425","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13075","ZBC1088","nyce-c-1088","000D6F000D696BA7","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13287","ZBC1300","nyce-c-1300","000D6F000D55BE57","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13288","ZBC1301","nyce-c-1301","000D6F000D54CECF","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13305","ZBC1318","nyce-c-1318","000D6F000D6A2293","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13309","ZBC1322","nyce-c-1322","000D6F000D697072","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13311","ZBC1324","nyce-c-1324","000D6F000D6A18F8","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13313","ZBC1326","nyce-c-1326","000D6F000D557856","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13393","ZBC1406","nyce-c-1406","000D6F000D6A11AD","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"13651","ZBSL1037","nyce-sl-1037","000D6F000D6A1DF9","131","NCZ-3045","1","0","52","NYCE Controls","10","Activity Sensors","45","Zigbee / Sensor Line","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
